order_id,customer_id,order_date,status,region_code
ORD_00001,UNKNOWN,2026-04-13 17:18:36,SHIPPED,APAC-SOUTH
ORD_00002,CUST_0145,2025-11-18 08:08:37,CANCELLED,EU-CENTRAL
ORD_00003,CUST_0043,2026-08-04 02:50:35,PLACED,US-WEST
ORD_00004,CUST_0028,2025-12-18 14:34:33,DELIVERED,APAC-SOUTH
ORD_00005,CUST_0184,2025-10-04 14:16:52,RETURNED,US-WEST
ORD_00006,CUST_0198,2026-07-16 21:57:31,RETURNED,US-EAST
ORD_00007,CUST_0145,2026-05-25 06:24:32,DELIVERED,APAC-SOUTH
ORD_00008,CUST_0018,2026-03-24 14:53:22,DELIVERED,US-EAST
ORD_00009,CUST_0126,2026-05-08 05:33:04,DELIVERED,APAC-SOUTH
ORD_00010,CUST_0112,2025-12-21 16:41:52,RETURNED,EU-CENTRAL
ORD_00011,CUST_0138,2025-08-24 05:06:32,CANCELLED,APAC-SOUTH
ORD_00012,CUST_0152,2026-01-18 18:25:33,SHIPPED,US-EAST
ORD_00013,CUST_0116,2025-10-18 17:48:03,CANCELLED,APAC-SOUTH
ORD_00014,CUST_0127,2026-03-06 07:33:12,SHIPPED,APAC-SOUTH
ORD_00015,CUST_0067,2026-01-03 05:30:30,RETURNED,EU-CENTRAL
ORD_00016,CUST_0133,2025-09-20 01:20:07,PLACED,US-WEST
ORD_00017,CUST_0126,2025-08-15 05:45:37,SHIPPED,APAC-SOUTH
ORD_00018,CUST_0126,2026-05-24 13:55:28,PLACED,US-EAST
ORD_00019,CUST_0104,2025-08-18 00:08:45,DELIVERED,EU-CENTRAL
ORD_00020,CUST_0136,2026-01-05 10:02:06,RETURNED,EU-CENTRAL
ORD_00021,CUST_0117,2026-02-09 18:58:06,DELIVERED,US-WEST
ORD_00022,CUST_0050,2026-02-05 08:58:10,RETURNED,US-WEST
ORD_00023,CUST_0190,2026-07-26 02:55:49,RETURNED,EU-CENTRAL
ORD_00024,CUST_0050,2026-01-30 19:56:44,DELIVERED,US-WEST
ORD_00025,CUST_0182,2025-09-07 23:21:31,DELIVERED,US-EAST
ORD_00026,CUST_0142,2026-02-05 20:45:25,SHIPPED,APAC-SOUTH
ORD_00027,CUST_0004,2025-12-18 03:24:33,CANCELLED,APAC-SOUTH
ORD_00028,CUST_0048,2025-12-26 10:26:08,DELIVERED,APAC-SOUTH
ORD_00029,CUST_0017,2025-09-25 08:52:25,PLACED,US-EAST
ORD_00030,CUST_0145,2026-02-11 07:47:52,PLACED,US-WEST
ORD_00031,CUST_0196,2026-04-26 18:45:15,RETURNED,US-WEST
ORD_00032,CUST_0098,2026-06-19 09:04:43,CANCELLED,EU-CENTRAL
ORD_00033,CUST_0110,2026-05-07 04:43:27,RETURNED,US-EAST
ORD_00034,CUST_0190,2026-06-28 21:04:19,SHIPPED,US-WEST
ORD_00035,CUST_0021,2025-08-20 03:31:50,SHIPPED,US-EAST
ORD_00036,CUST_0105,2026-06-07 21:29:22,RETURNED,APAC-SOUTH
ORD_00037,CUST_0060,2026-08-02 15:25:03,DELIVERED,APAC-SOUTH
ORD_00038,CUST_0060,2026-03-28 10:44:12,RETURNED,US-WEST
ORD_00039,CUST_0140,2025-10-15 10:01:12,SHIPPED,EU-CENTRAL
ORD_00040,CUST_0019,2026-01-01 02:11:42,DELIVERED,EU-CENTRAL
ORD_00041,CUST_0120,2026-04-15 18:50:31,CANCELLED,EU-CENTRAL
ORD_00042,CUST_0127,2026-07-04 07:47:25,RETURNED,US-EAST
ORD_00043,CUST_0189,2026-01-15 10:44:23,DELIVERED,US-EAST
ORD_00044,CUST_0173,2026-03-16 17:40:06,RETURNED,US-EAST
ORD_00045,CUST_0173,2025-09-21 01:31:08,RETURNED,US-EAST
ORD_00046,CUST_0045,2026-05-24 11:33:36,CANCELLED,EU-CENTRAL
ORD_00047,CUST_0150,2026-05-04 12:25:11,CANCELLED,US-EAST
ORD_00048,CUST_0105,2025-12-26 21:33:56,PLACED,US-WEST
ORD_00049,CUST_0178,2025-09-05 08:37:58,CANCELLED,US-EAST
ORD_00050,CUST_0081,2025-11-30 14:54:27,PLACED,APAC-SOUTH
ORD_00051,CUST_0001,2026-02-11 22:29:27,RETURNED,APAC-SOUTH
ORD_00052,CUST_0049,2026-06-14 18:12:02,RETURNED,APAC-SOUTH
ORD_00053,CUST_0195,2026-03-06 14:27:10,DELIVERED,US-WEST
ORD_00054,CUST_0113,2026-05-10 12:49:03,CANCELLED,US-EAST
ORD_00055,UNKNOWN,2025-11-01 23:56:20,SHIPPED,US-WEST
ORD_00056,CUST_0004,2025-11-08 13:04:45,PLACED,US-WEST
ORD_00057,CUST_0030,2026-07-15 06:17:48,PLACED,US-WEST
ORD_00058,CUST_0184,2026-02-16 18:37:07,DELIVERED,APAC-SOUTH
ORD_00059,CUST_0121,2025-09-19 21:42:14,RETURNED,US-WEST
ORD_00060,CUST_0154,2025-11-24 13:28:04,SHIPPED,US-EAST
ORD_00061,CUST_0107,2026-07-27 02:58:28,RETURNED,EU-CENTRAL
ORD_00062,CUST_0073,2025-09-18 18:39:57,RETURNED,APAC-SOUTH
ORD_00063,CUST_0115,2026-01-02 12:49:02,DELIVERED,EU-CENTRAL
ORD_00064,CUST_0140,2025-08-25 15:03:07,DELIVERED,US-WEST
ORD_00065,CUST_0062,2025-10-21 07:15:13,SHIPPED,APAC-SOUTH
ORD_00066,UNKNOWN,2026-05-27 06:15:36,CANCELLED,APAC-SOUTH
ORD_00067,CUST_0167,2025-10-25 23:30:39,CANCELLED,US-EAST
ORD_00068,CUST_0152,2026-01-02 12:22:03,PLACED,APAC-SOUTH
